target,n,r_squared,intercept,coef_day,coef_weekday
NMHC(GT),914,0.22692066203421435,52.26918527597758,171.93416156274105,104.50553834280977
PT08.S2(NMHC),8991,0.22580664355484492,733.4014878145796,222.49703222506153,133.8395948854417
C6H6(GT),8991,0.20966746516822876,4.383385706666785,5.786157470487327,3.9750754753509963
RH,8991,0.16728990870375193,56.21410871327622,-14.163964967281748,0.14796706851553115
CO(GT),7674,0.1577005417851104,1.165961824541517,0.9596959446341587,0.7008227819356293
NO2(GT),7715,0.14892031414819884,82.45827228923456,33.31874324395284,18.603614155264587
PT08.S1(CO),8991,0.13088268072639653,980.7635062656759,145.26811910051632,65.75552845418945
PT08.S3(NOx),8991,0.11766639723660643,969.5351071434752,-162.60358853279703,-74.68307763866956
NOx(GT),7718,0.10179023749146887,132.42439150700557,118.21255338215141,74.05257234708948
PT08.S4(NO2),8991,0.095815145010266,1270.1163724107998,170.29728127709564,143.05575508216194
PT08.S5(O3),8991,0.09138711171775837,808.9228752350025,180.7104034716527,175.11325943114883
T,8991,0.08444292305542789,15.437278021928297,5.116590974358706,0.455361439198173
AH,8991,0.002811635874324092,1.0243743109287187,-0.03525162323262595,0.026618313916957
